	 181759
olfactory receptor activity	 2
detection of chemical stimulus	 2
endoplasmic reticulum chaperone complex	 5
intramolecular oxidoreductase activity, interconverting aldoses and ketoses	 10
protein targeting to mitochondrion	 15
glutamate synthase activity	 79
cholate-CoA ligase activity	 1
host cell microsome	 2
cellular response to follicle-stimulating hormone stimulus	 1
traversing start control point of mitotic cell cycle	 6
iodide transport	 3
pyruvate biosynthetic process	 1
N-terminal protein myristoylation	 6
UDP-glucose:hexose-1-phosphate uridylyltransferase activity	 3
startle response	 5
glucuronate isomerase activity	 2
transcriptionally active chromatin	 1
response to organic substance	 35
response to sterol depletion	 1
negative regulation of interleukin-6 production	 2
transferase activity, transferring pentosyl groups	 49
pronephros morphogenesis	 5
ganglioside catabolic process	 2
regulation of exocytosis	 4
astrocyte development	 1
TOR signaling cascade	 3
mRNA binding	 77
positive regulation of histone acetylation	 5
trachea development	 1
negative regulation of transcription by glucose	 1
methylation	 1151
positive regulation of T cell differentiation	 1
regulation of proteasomal ubiquitin-dependent protein catabolic process	 1
gluconate 2-dehydrogenase activity	 2
lipid transport	 60
chromatin-mediated maintenance of transcription	 2
spindle midzone	 9
sensory perception	 2
positive regulation of systemic arterial blood pressure	 1
choline transport	 12
dendrite	 140
body fluid secretion	 1
DNA primase activity	 29
positive regulation of epithelial to mesenchymal transition	 4
kinetochore	 40
neuron recognition	 1
oxidoreductase activity, acting on the CH-OH group of donors, oxygen as acceptor	 5
dendrite guidance	 2
beta-catenin binding	 34
alcohol dehydrogenase (NAD) activity	 106
regulation of T cell activation	 1
axon target recognition	 1
HLH domain binding	 2
leukocyte tethering or rolling	 9
regulation of lamellipodium morphogenesis	 4
synapse organization	 25
ethylene binding	 1
3alpha,7alpha,12alpha-trihydroxy-5beta-cholest-24-enoyl-CoA hydratase activity	 1
lactation	 22
interkinetic nuclear migration	 3
elongation factor-2 kinase activity	 9
planar cell polarity pathway involved in neural tube closure	 4
embryonic body morphogenesis	 11
guanylate cyclase complex, soluble	 1
tissue remodeling	 5
synaptic vesicle membrane	 13
ribosomal large subunit binding	 1
telomerase holoenzyme complex	 3
dosage compensation	 2
box H/ACA snoRNA metabolic process	 1
regulation of cyclin-dependent protein serine/threonine kinase activity involved in G2/M transition of mitotic cell cycle	 1
centriole	 33
lipid homeostasis	 6
CD8 receptor binding	 2
translation elongation factor activity	 264
phosphatidate phosphatase activity	 2
nutrient reservoir activity	 7
aspartate-semialdehyde dehydrogenase activity	 10
microtubule cytoskeleton	 64
neurotransmitter:sodium symporter activity	 4
telomere capping	 3
G-protein coupled receptor activity	 412
cellular response to ammonium ion	 1
pre-autophagosomal structure	 1
xanthine phosphoribosyltransferase activity	 1
acylglycerol lipase activity	 12
chromosome separation	 2
positive regulation of activin receptor signaling pathway	 1
acetylcholine receptor binding	 1
seed germination	 9
glial cell apoptotic process	 2
positive regulation of synaptic growth at neuromuscular junction	 2
N-formylglutamate deformylase activity	 2
Mullerian duct regression	 1
2-dehydropantoate 2-reductase activity	 1
[phosphorylase] phosphatase activity	 1
systemic acquired resistance, salicylic acid mediated signaling pathway	 1
negative regulation of T cell mediated immunity	 11
hair follicle placode formation	 4
regulation of mitochondrial depolarization	 4
positive regulation of nucleotide-binding oligomerization domain containing 1 signaling pathway	 1
5-carboxymethyl-2-hydroxymuconate delta-isomerase activity	 11
glycolysis	 268
replication fork protection complex	 2
anterior/posterior axis specification, embryo	 7
viral capsid	 13
oxidoreductase activity	 4907
ribonucleoprotein granule	 1
tRNA-splicing ligase complex	 3
glycerolipid biosynthetic process	 1
NADPH regeneration	 5
oligo-1,6-glucosidase activity	 3
SAGA complex	 2
methylation-dependent chromatin silencing	 2
cellular amino acid metabolic process	 258
negative regulation of DNA recombination	 2
sulfur compound metabolic process	 12
signal transduction	 2189
positive regulation of interleukin-18 production	 3
chromatin silencing complex	 3
negative regulation of interferon-gamma-mediated signaling pathway	 2
cytoskeleton organization	 52
threonine synthase activity	 12
mitochondrial DNA repair	 1
glucose-6-phosphate transport	 1
peptidyl-prolyl cis-trans isomerase activity	 212
phosphatase activity	 381
negative regulation of synaptic growth at neuromuscular junction	 1
3'-phosphoadenosine 5'-phosphosulfate biosynthetic process	 3
prospore membrane	 1
branched-chain amino acid metabolic process	 18
Rac protein signal transduction	 1
maltose transport	 5
positive regulation of DNA ligation	 1
negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	 27
embryonic eye morphogenesis	 1
postsynaptic density	 60
regulation of antimicrobial peptide production	 1
interleukin-17 production	 1
response to prostaglandin stimulus	 1
RSF complex	 1
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides	 53
enoyl-CoA hydratase activity	 77
regulation of protein import into nucleus	 1
starch metabolic process	 10
UDP-N-acetylmuramate dehydrogenase activity	 5
response to desiccation	 1
enterobactin transporter activity	 2
sn-glycerol-3-phosphate:ubiquinone oxidoreductase activity	 5
mesodermal cell fate commitment	 1
skeletal muscle myosin thick filament assembly	 74
COPI-coated vesicle membrane	 10
regulation of interleukin-12 biosynthetic process	 2
osteoblast proliferation	 4
shikimate 3-dehydrogenase (NADP+) activity	 7
actin filament-based process	 4
cilium	 308
viral genome replication	 15
regulation of programmed cell death	 1
carbohydrate transmembrane transport	 10
positive regulation of intracellular transport	 1
embryonic placenta development	 5
lipoprotein lipase activator activity	 1
proton-transporting ATP synthase complex, coupling factor F(o)	 44
peroxisome fission	 1
carboxylic acid binding	 4
regulation of cholesterol transport	 7
protein localization to Golgi apparatus	 3
cold acclimation	 4
deoxyribonuclease I activity	 4
dehydroascorbic acid transport	 1
phosphatidylinositol-3,4-bisphosphate 3-phosphatase activity	 2
cellular amino acid catabolic process	 29
3-hydroxybutyryl-CoA dehydrogenase activity	 14
L-serine biosynthetic process	 40
long-chain-enoyl-CoA hydratase activity	 2
peripheral to membrane of membrane fraction	 3
mitogen-activated protein kinase kinase kinase binding	 25
positive regulation of chondrocyte differentiation	 2
dinucleotide insertion or deletion binding	 1
citryl-CoA lyase activity	 13
dendritic shaft	 34
glucose-6-phosphate dehydrogenase activity	 23
tubulin-tyrosine ligase activity	 71
4-alpha-glucanotransferase activity	 7
regulation of atrial cardiac muscle cell membrane depolarization	 3
negative regulation of transforming growth factor beta1 production	 1
citrate lyase complex	 19
response to symbiotic fungus	 1
LRR domain binding	 7
prenyltransferase activity	 33
targeting of mRNA for destruction involved in RNA interference	 2
'de novo' L-methionine biosynthetic process	 3
ferrous iron transport	 8
positive regulation of T cell mediated cytotoxicity	 5
regulation of MAPK cascade	 7
calcium- and calmodulin-responsive adenylate cyclase activity	 5
enoyl-[acyl-carrier-protein] reductase (NADPH, B-specific) activity	 3
(E,E)-geranyllinalool synthase activity	 1
peptidoglycan biosynthetic process	 120
dendrite morphogenesis	 39
JUN phosphorylation	 4
voltage-gated sodium channel activity	 41
alkylglycerophosphoethanolamine phosphodiesterase activity	 1
auxin biosynthetic process	 3
glutathione S-conjugate-exporting ATPase activity	 5
negative regulation of determination of dorsal identity	 1
antiporter activity	 99
negative regulation of receptor-mediated endocytosis	 7
integral to plasma membrane	 466
folic acid binding	 16
lactate oxidation	 4
cellular response to extracellular stimulus	 5
NAD transport	 2
hydrogen-translocating pyrophosphatase activity	 33
imaginal disc-derived wing vein specification	 5
polytene chromosome chromocenter	 2
cellular carbohydrate metabolic process	 58
negative regulation of transport	 1
cellular response to hydrogen peroxide	 5
4-hydroxy-2-oxoglutarate aldolase activity	 10
phosphoadenylyl-sulfate reductase (thioredoxin) activity	 3
valine metabolic process	 24
4-hydroxyphenylpyruvate decarboxylase activity	 3
L-threonine ammonia-lyase activity	 7
negative regulation of neurogenesis	 6
glycine hydroxymethyltransferase activity	 15
creatine metabolic process	 3
siRNA binding	 3
negative regulation of cell projection organization	 16
myosin light chain binding	 5
gravitropism	 4
vesicle coating	 5
response to carbohydrate stimulus	 4
calcium channel regulator activity	 16
regulation of type I interferon-mediated signaling pathway	 2
aryl-alcohol dehydrogenase (NADP+) activity	 3
channel activity	 11
embryonic organ morphogenesis	 1
2-keto-3-deoxygluconate:hydrogen symporter activity	 5
neural crest cell fate commitment	 2
central complex development	 1
response to ethanol	 36
negative regulation of interleukin-1 secretion	 17
karyogamy involved in conjugation with cellular fusion	 3
phosphatidylinositol N-acetylglucosaminyltransferase activity	 4
pinocytosis	 1
actin filament bundle	 4
regulation of translational termination	 7
carbon-sulfur lyase activity	 4
hemoglobin biosynthetic process	 3
leucine-tRNA ligase activity	 33
CD4-positive or CD8-positive, alpha-beta T cell lineage commitment	 1
endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	 2
viral infectious cycle	 79
lipoprotein transporter activity	 11
vitamin metabolic process	 24
methylglyoxal biosynthetic process	 2
DNA restriction-modification system	 70
'de novo' protein folding	 3
phloem or xylem histogenesis	 3
ciliary rootlet	 5
mannose metabolic process	 29
IgE binding	 2
response to interferon-gamma	 6
arylesterase activity	 32
mRNA cleavage	 6
dendrite membrane	 2
R8 cell-mediated photoreceptor organization	 2
sequence-specific DNA binding transcription factor activity	 645
intra-S DNA damage checkpoint	 3
sodium ion transport	 225
contractile ring	 1
negative regulation of ubiquitin-protein ligase activity	 1
intracellular protein transport	 485
isopentenyl diphosphate biosynthetic process	 1
heparan sulfate proteoglycan biosynthetic process, enzymatic modification	 2
decapentaplegic signaling pathway	 1
ovule development	 4
negative regulation of cell-cell adhesion	 13
endoplasmic reticulum localization	 2
eye pigment precursor transport	 2
positive regulation of programmed cell death	 7
oocyte microtubule cytoskeleton organization	 7
bleb	 5
regulation of glutamate secretion	 9
catecholamine metabolic process	 46
C-8 sterol isomerase activity	 7
tropinesterase activity	 2
maltose alpha-glucosidase activity	 15
L-amino acid transmembrane transporter activity	 1
nicotinamidase activity	 7
thyroid hormone generation	 4
guanyl-nucleotide exchange factor complex	 2
cellular response to hypoxia	 8
skeletal muscle tissue regeneration	 2
glutamate formimidoyltransferase activity	 2
chlorophyllase activity	 2
1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity	 7
positive regulation of lipid storage	 2
cellular response to hepatocyte growth factor stimulus	 4
polysaccharide metabolic process	 16
hypochord development	 3
Golgi vesicle fusion to target membrane	 3
regulation of fibroblast proliferation	 4
sulfite reductase (ferredoxin) activity	 12
negative regulation of T cell differentiation	 1
membrane fraction	 336
(S)-2-hydroxy-acid oxidase activity	 19
diuretic hormone activity	 2
desmosome	 4
integral to membrane	 7301
regulation of short-term neuronal synaptic plasticity	 2
mononuclear cell migration	 2
gap junction	 5
fructan beta-fructosidase activity	 3
response to exogenous dsRNA	 15
negative regulation of planar cell polarity pathway involved in cardiac muscle tissue morphogenesis	 11
establishment of protein localization to chromatin	 1
R-SMAD binding	 5
DNA-directed RNA polymerase II, holoenzyme	 9
Schmidt-Lanterman incisure	 6
positive regulation of bone resorption	 11
serine-type endopeptidase activity	 650
cellular response to oxidative stress	 8
mature chylomicron	 1
cellulose biosynthetic process	 7
RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity	 7
phosphoglycerate dehydrogenase activity	 20
activation of protein kinase activity	 17
threonylcarbamoyladenosine biosynthetic process	 3
phytochelatin import into vacuole	 1
regulation of osteoblast differentiation	 2
phosphoenolpyruvate carboxykinase (GTP) activity	 8
proteolysis involved in cellular protein catabolic process	 51
hair follicle development	 17
telethonin binding	 61
photoreactive repair	 2
UDP-N-acetylmuramoylalanyl-D-glutamate-2,6-diaminopimelate ligase activity	 9
assembly of spliceosomal tri-snRNP	 3
inflorescence development	 2
negative regulation of coagulation	 1
intracellular cholesterol transport	 6
4-aminobutyrate transaminase activity	 9
pole cell formation	 1
nicotinate phosphoribosyltransferase activity	 24
histone-arginine N-methyltransferase activity	 16
UTP:xylose-1-phosphate uridylyltransferase activity	 2
regulation of DNA methylation	 1
negative regulation of lipase activity	 1
retrograde transport, endosome to Golgi	 8
hepatocyte differentiation	 1
homophilic cell adhesion	 575
nose morphogenesis	 1
tagatose-6-phosphate kinase activity	 1
damaged DNA binding	 113
positive regulation of proteasomal ubiquitin-dependent protein catabolic process	 45
mitochondrial oxoglutarate dehydrogenase complex	 1
AP-type membrane coat adaptor complex	 1
RS domain binding	 2
adaptation of rhodopsin mediated signaling	 4
photoreceptor cell maintenance	 39
positive regulation of adenosine receptor signaling pathway	 1
tetrahydrobiopterin metabolic process	 1
specification of axis polarity	 1
collagen and cuticulin-based cuticle development	 5
mannitol metabolic process	 1
bronchus morphogenesis	 3
cell junction assembly	 29
sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase activity	 15
dsRNA transport	 2
positive regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway	 1
rRNA (adenine-N6-)-methyltransferase activity	 2
U4 snRNP	 3
spermine biosynthetic process	 1
magnesium-dependent protein serine/threonine phosphatase activity	 2
regulation of B cell receptor signaling pathway	 1
positive regulation of cell cycle	 21
cysteamine dioxygenase activity	 3
succinate dehydrogenase (ubiquinone) activity	 31
adenosine deaminase activity	 15
central nervous system myelination	 2
protein targeting to vacuole	 1
electron transporter, transferring electrons from CoQH2-cytochrome c reductase complex and cytochrome c oxidase complex activity	 1
embryonic neurocranium morphogenesis	 3
negative regulation of JUN kinase activity	 5
pyrimidine nucleotide binding	 1
negative regulation of eye pigmentation	 2
carbohydrate metabolic process	 1524
syntaxin-1 binding	 5
positive regulation of lipoprotein lipase activity	 2
lipopolysaccharide receptor complex	 2
microvillus assembly	 6
arogenate dehydratase activity	 1
cell development	 12
oxidoreductase activity, acting on the aldehyde or oxo group of donors	 45
extrinsic to endosome membrane	 1
positive regulation of ERK1 and ERK2 cascade	 32
multicellular organism growth	 21
methionine adenosyltransferase complex	 1
nucleoside:sodium symporter activity	 3
threonine biosynthetic process	 32
UDP-glucose metabolic process	 7
phosphomethylpyrimidine kinase activity	 7
carboxylesterase activity	 49
oocyte dorsal/ventral axis specification	 4
transcription corepressor activity	 43
hexose biosynthetic process	 3
double fertilization forming a zygote and endosperm	 1
cGMP metabolic process	 1
pyruvate oxidase activity	 12
N-terminal myristoylation domain binding	 19
response to molecule of fungal origin	 3
glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase activity	 4
ion binding	 3
NEDD8 activating enzyme activity	 1
DNA translocase activity	 1
protein-L-isoaspartate (D-aspartate) O-methyltransferase activity	 21
positive regulation of Rho GTPase activity	 7
cardiolipin metabolic process	 1
positive regulation of histone H3-K9 methylation	 1
RNA transmembrane transporter activity	 1
cell-substrate junction assembly	 5
threonyl-tRNA aminoacylation	 15
homoserine kinase activity	 5
host cell nucleus	 7
calcium-mediated signaling	 20
chloroplast stroma	 65
N-sulfoglucosamine sulfohydrolase activity	 3
cytochrome-c peroxidase activity	 6
ADP binding	 35
clathrin-coated vesicle	 17
regulation of flower development	 12
eukaryotic initiation factor 4G binding	 4
pericardium development	 5
dimethylargininase activity	 1
positive regulation of Ran GTPase activity	 2
germarium-derived female germ-line cyst formation	 3
positive regulation of establishment of protein localization to plasma membrane	 6
protein lipoylation	 15
negative regulation of ion transport	 1
negative gravitaxis	 1
single-stranded DNA-dependent ATPase activity	 7
HOPS complex	 4
norepinephrine metabolic process	 1
fatty acid catabolic process	 10
monovalent cation:hydrogen antiporter activity	 3
glucose-fructose oxidoreductase activity	 3
malate transmembrane transporter activity	 1
intestinal cholesterol absorption	 2
D-amino-acid oxidase activity	 3
meiotic mismatch repair	 5
solute:sodium symporter activity	 3
developmental programmed cell death	 4
positive regulation of cellular metabolic process	 8
saccharopine dehydrogenase (NADP+, L-glutamate-forming) activity	 1
NAD biosynthesis via nicotinamide riboside salvage pathway	 1
regulation of translational fidelity	 5
response to interferon-alpha	 3
superoxide metabolic process	 24
protein export from nucleus	 10
Cdc73/Paf1 complex	 1
cellular response to gamma radiation	 6
methylitaconate delta-isomerase activity	 1
cellular copper ion homeostasis	 19
replication fork protection	 4
intestinal epithelial cell maturation	 2
peptidyl-proline hydroxylation to 4-hydroxy-L-proline	 6
RNA-directed DNA polymerase activity	 1312
negative regulation of vulval development	 10
cGMP catabolic process	 6
glutamate-1-semialdehyde 2,1-aminomutase activity	 12
DNA replication, removal of RNA primer	 8
histone acetyltransferase activity (H3-K18 specific)	 3
platelet alpha granule membrane	 4
dihydrolipoamide branched chain acyltransferase activity	 1
face development	 7
glycogen (starch) synthase activity	 5
MHC class II protein binding	 1
carboxyvinyl-carboxyphosphonate phosphorylmutase activity	 4
regulation of transcription involved in G1/S phase of mitotic cell cycle	 5
regulation of chondrocyte differentiation	 1
muscle cell homeostasis	 10
actomyosin	 2
nuclear microtubule	 1
positive regulation of protein kinase B signaling cascade	 15
homotypic cell-cell adhesion	 5
negative regulation of fibrinolysis	 6
negative regulation of mRNA splicing, via spliceosome	 1
polarity specification of adaxial/abaxial axis	 3
bronchus development	 1
regulation of DNA repair	 2
positive regulation of lymphocyte proliferation	 1
sarcosine dehydrogenase activity	 21
sphingomyelin phosphodiesterase D activity	 1
phosphoprotein phosphatase activity	 519
regulation of translation	 82
autophagy	 55
behavioral response to cocaine	 3
neuron differentiation	 29
signal recognition particle, endoplasmic reticulum targeting	 3
citrate (Si)-synthase activity	 23
asymmetric neuroblast division	 3
Pyrin domain binding	 3
sigma factor activity	 65
dynein-driven meiotic oscillatory nuclear movement	 1
ecdysone biosynthetic process	 2
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	 5
chitin deacetylase activity	 4
protein phosphorylated amino acid binding	 3
recognition of pollen	 10
2-alkenal reductase [NAD(P)] activity	 222
N-acetylglucosaminyl-proteoglycan 4-beta-glucuronosyltransferase activity	 2
central nervous system vasculogenesis	 2
synaptic transmission, cholinergic	 4
transcription elongation from RNA polymerase II promoter	 28
mitotic sister chromatid separation	 1
histamine transport	 1
voltage-gated chloride channel activity	 46
lipoate metabolic process	 2
N-acetyl-gamma-glutamyl-phosphate reductase activity	 5
detection of visible light	 7
morphine 6-dehydrogenase activity	 7
cell adhesion	 858
fructuronate reductase activity	 1
transmembrane receptor protein tyrosine phosphatase activity	 72
prephenate dehydrogenase (NADP+) activity	 5
M band	 80
cellular response to osmotic stress	 1
positive regulation of uterine smooth muscle contraction	 2
methotrexate transporter activity	 2
cellular response to caffeine	 2
thymidine metabolic process	 3
nitrate reductase (NADH) activity	 13
V(D)J recombination	 5
histidine metabolic process	 4
retina vasculature development in camera-type eye	 1
negative regulation of endothelial cell proliferation	 16
glycine biosynthetic process	 7
methionine biosynthetic process	 90
clathrin coat	 4
calcium- and calmodulin-dependent protein kinase complex	 17
positive regulation of complement activation	 1
cellular response to carbohydrate stimulus	 4
indolepyruvate ferredoxin oxidoreductase activity	 13
oxygen evolving complex	 6
tetrahydrobiopterin biosynthetic process	 5
hydrogen-exporting ATPase activity, phosphorylative mechanism	 37
ribosomal large subunit biogenesis	 12
fluid transport	 3
acetolactate synthase complex	 1
otic vesicle formation	 2
negative regulation of amyloid precursor protein biosynthetic process	 1
regulation of JNK cascade	 10
regulation of synaptic growth at neuromuscular junction	 4
tRNA adenylyltransferase activity	 5
mesenchymal cell differentiation	 1
pyridoxal 5'-phosphate salvage	 1
5-formyltetrahydrofolate cyclo-ligase activity	 9
galactose catabolic process	 2
nucleotide phosphorylation	 27
positive regulation of interferon-gamma-mediated signaling pathway	 10
response to nutrient levels	 14
positive regulation of blood coagulation	 2
positive regulation of embryonic development	 5
alpha-glucan, water dikinase activity	 11
L-phenylalanine biosynthetic process	 9
histone demethylase activity (H3-K27 specific)	 1
geranylgeranyl diphosphate metabolic process	 6
neutrophil degranulation	 1
hydrogen dehydrogenase activity	 1
regulation of G2/M transition of mitotic cell cycle	 3
negative regulation of non-canonical Wnt receptor signaling pathway	 7
ribonucleoprotein complex	 959
striated muscle cell development	 33
WASH complex	 4
sepal formation	 2
aromatic amino acid family catabolic process	 4
hydroxyethylthiazole kinase activity	 2
antigen processing and presentation, exogenous lipid antigen via MHC class Ib	 2
quaternary-ammonium-compound-transporting ATPase activity	 4
cytokine activity	 15
axon extension involved in axon guidance	 12
CRD-mediated mRNA stabilization	 2
protein localization to chromatin	 1
positive regulation of microtubule polymerization	 6
response to UV-B	 7
response to UV-C	 9
cytidylate kinase activity	 10
plastid organization	 2
1-deoxy-D-xylulose-5-phosphate reductoisomerase activity	 2
mesenchymal smoothened signaling pathway involved in prostate gland development	 1
glycine binding	 3
micturition	 4
adrenal gland development	 2
CBM complex	 1
extracellular vesicular exosome	 12
defense response by callose deposition	 1
sialyltransferase activity	 14
external side of mitochondrial outer membrane	 6
quaternary ammonium group transport	 3
negative regulation of low-density lipoprotein particle receptor catabolic process	 1
positive regulation of protein binding	 2
glycerol biosynthetic process from pyruvate	 3
glial cell migration	 1
cytokine-mediated signaling pathway	 28
activated T cell proliferation	 4
iduronate-2-sulfatase activity	 13
glucose 6-phosphate metabolic process	 17
cystathionine beta-lyase activity	 17
epithelial fluid transport	 2
3'-phosphoadenosine 5'-phosphosulfate transport	 1
ionotropic glutamate receptor activity	 7
interferon-gamma binding	 3
protocatechuate metabolic process	 1
sexual reproduction	 3
sugar transmembrane transporter activity	 3
regulation of DNA-dependent transcription, elongation	 9
trophoblast giant cell differentiation	 4
heat shock-mediated polytene chromosome puffing	 2
promoter binding	 12
white fat cell differentiation	 1
oxidoreductase activity, acting on CH-OH group of donors	 80
histidyl-tRNA aminoacylation	 18
acetylcholine-gated channel complex	 1
SMN complex	 3
brassinosteroid mediated signaling pathway	 10
lipid glycosylation	 37
laminin-1 complex	 5
cyclohexanone monooxygenase activity	 1
lens fiber cell differentiation	 5
dorsal appendage formation	 3
positive regulation of T cell tolerance induction	 2
isopullulanase activity	 2
glucan exo-1,3-beta-glucosidase activity	 8
phosphatidylethanolamine binding	 2
15-hydroxyprostaglandin dehydrogenase (NAD+) activity	 6
pentacyclic triterpenoid biosynthetic process	 1
endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	 2
photoreceptor outer segment	 15
negative regulation of lamellocyte differentiation	 4
SRP-dependent cotranslational protein targeting to membrane	 31
positive regulation of cell adhesion	 12
procambium histogenesis	 1
Rho GTPase binding	 30
[acetyl-CoA carboxylase] kinase activity	 2
intracellular protein transmembrane transport	 25
negative regulation of cellular component movement	 7
growth of a germarium-derived egg chamber	 1
positive regulation of heparan sulfate proteoglycan biosynthetic process	 2
sarcoplasm	 1
hydrolase activity, hydrolyzing N-glycosyl compounds	 14
phosphate ion transport	 37
specification of organ position	 1
beta-ureidopropionase activity	 8
post-translational protein modification	 70
meiotic chromosome segregation	 10
homoserine O-acetyltransferase activity	 13
canonical Wnt receptor signaling pathway involved in positive regulation of epithelial to mesenchymal transition	 2
dorsal/ventral neural tube patterning	 5
mannose biosynthetic process	 1
response to water deprivation	 11
I-kappaB phosphorylation	 6
mitochondrial electron transfer flavoprotein complex	 1
positive regulation of calcium-mediated signaling	 10
branched-chain amino acid transport	 10
positive regulation of Fc receptor mediated stimulatory signaling pathway	 2
channel-conductance-controlling ATPase activity	 1
histone acetyltransferase activity (H3-K27 specific)	 3
DNA methylation involved in gamete generation	 12
water homeostasis	 2
inositol hexakisphosphate binding	 2
inactivation of MAPK activity	 12
glycerol-1-phosphate dehydrogenase [NAD(P)+] activity	 2
regulation of killing of cells of other organism	 3
cholesterol monooxygenase (side-chain-cleaving) activity	 10
cysteine biosynthetic process via cystathionine	 1
cellular response to low-density lipoprotein particle stimulus	 1
axonemal heterotrimeric kinesin-II complex	 3
aspartate racemase activity	 3
pole plasm oskar mRNA localization	 12
renal system development	 3
positive regulation of DNA repair	 8
establishment of spindle orientation	 1
telomere maintenance	 40
FMN binding	 175
positive regulation of transcription via serum response element binding	 1
regulation of calcium ion-dependent exocytosis	 2
M/G1 transition of mitotic cell cycle	 54
positive regulation of lipid transport	 7
conjugation with cellular fusion	 1
succinyl-CoA pathway	 1
tricarboxylate secondary active transmembrane transporter activity	 1
bHLH transcription factor binding	 7
RISC-loading complex	 1
regulation of establishment of protein localization to plasma membrane	 5
neuroblast fate determination	 1
zygotic specification of dorsal/ventral axis	 4
embryonic morphogenesis	 4
sulfate adenylyltransferase (ATP) activity	 24
regulation of Rab GTPase activity	 82
negative regulation of endothelial cell migration	 10
red or far-red light signaling pathway	 4
cysteine-type endopeptidase inhibitor activity	 4
negative regulation of planar cell polarity pathway involved in pericardium morphogenesis	 11
vegetative phase change	 2
tail morphogenesis	 14
phenol-containing compound metabolic process	 3
histone acetyltransferase activity	 77
glucocorticoid receptor import into nucleus	 1
tetrahydrofolate metabolic process	 68
sympathetic nervous system development	 4
response to external stimulus	 4
antibiotic metabolic process	 17
imaginal disc growth	 4
malate transport	 4
dibenzo-p-dioxin metabolic process	 1
activation of phospholipase C activity	 39
11-cis-retinyl-palmitate hydrolase activity	 7
protein repair	 9
chromatin	 120
WINAC complex	 2
