KEGG Pathways	Number of Occurences
"(Citrate cycle (TCA cycle) (map00020), dehydrogenase (acetyl-transferring) (ec:1.2.4.1))"	33
"(Biosynthesis of unsaturated fatty acids (map01040), hydratase (ec:4.2.1.17))"	33
"(Propanoate metabolism (map00640), hydratase (ec:4.2.1.17))"	33
"(Butanoate metabolism (map00650), dehydrogenase (acetyl-transferring) (ec:1.2.4.1))"	33
"(Lysine degradation (map00310), hydratase (ec:4.2.1.17))"	33
"(Pantothenate and CoA biosynthesis (map00770), dehydratase (ec:4.2.1.9))"	33
"(Phenylalanine metabolism (map00360), hydratase (ec:4.2.1.17))"	33
"(Butanoate metabolism (map00650), hydratase (ec:4.2.1.17))"	33
"(Oxidative phosphorylation (map00190), diphosphatase (ec:3.6.1.1))"	32
"(Glyoxylate and dicarboxylate metabolism (map00630), equilase (ec:1.11.1.6))"	32
"(Tryptophan metabolism (map00380), equilase (ec:1.11.1.6))"	32
"(Sulfur metabolism (map00920), synthase (ec:2.5.1.47))"	31
"(Cysteine and methionine metabolism (map00270), synthase (ec:2.5.1.47))"	31
"(T cell receptor signaling pathway (map04660), protein-tyrosine kinase (ec:2.7.10.2))"	30
"(Citrate cycle (TCA cycle) (map00020), dehydrogenase (succinyl-transferring) (ec:1.2.4.2))"	29
"(Tryptophan metabolism (map00380), dehydrogenase (succinyl-transferring) (ec:1.2.4.2))"	29
"(Lysine degradation (map00310), dehydrogenase (succinyl-transferring) (ec:1.2.4.2))"	29
"(Oxidative phosphorylation (map00190), ATPase (ec:3.6.3.6))"	29
"(Aminoacyl-tRNA biosynthesis (map00970), ligase (ec:6.1.1.5))"	29
"(Oxidative phosphorylation (map00190), dehydrogenase (ec:1.3.99.1))"	28
"(Butanoate metabolism (map00650), dehydrogenase (ec:1.3.99.1))"	28
"(Nitrogen metabolism (map00910), ligase (ec:6.3.1.2))"	28
"(Alanine, aspartate and glutamate metabolism (map00250), ligase (ec:6.3.1.2))"	28
"(Citrate cycle (TCA cycle) (map00020), dehydrogenase (ubiquinone) (ec:1.3.5.1))"	28
"(Arginine and proline metabolism (map00330), ligase (ec:6.3.1.2))"	28
"(Carbon fixation pathways in prokaryotes (map00720), dehydrogenase (ec:1.3.99.1))"	28
"(Citrate cycle (TCA cycle) (map00020), dehydrogenase (ec:1.3.99.1))"	28
"(Glyoxylate and dicarboxylate metabolism (map00630), ligase (ec:6.3.1.2))"	28
"(Toluene degradation (map00623), dehydrogenase (ec:1.3.99.1))"	28
"(Oxidative phosphorylation (map00190), dehydrogenase (ubiquinone) (ec:1.3.5.1))"	28
"(Cysteine and methionine metabolism (map00270), synthase (ec:4.4.1.14))"	28
"(Carbon fixation in photosynthetic organisms (map00710), dehydrogenase (oxaloacetate-decarboxylating) (NADP+) (ec:1.1.1.40))"	27
"(Carbon fixation pathways in prokaryotes (map00720), carboxylase (ec:6.4.1.3))"	27
"(Nitrogen metabolism (map00910), dehydrogenase (quinone) (ec:1.6.99.5))"	27
"(Valine, leucine and isoleucine degradation (map00280), carboxylase (ec:6.4.1.3))"	27
"(Propanoate metabolism (map00640), ligase (ADP-forming) (ec:6.2.1.5))"	27
"(Glyoxylate and dicarboxylate metabolism (map00630), carboxylase (ec:6.4.1.3))"	27
"(Nicotinate and nicotinamide metabolism (map00760), transhydrogenase (AB-specific) (ec:1.6.1.2))"	27
"(C5-Branched dibasic acid metabolism (map00660), ligase (ADP-forming) (ec:6.2.1.5))"	27
"(Carbon fixation pathways in prokaryotes (map00720), ligase (ADP-forming) (ec:6.2.1.5))"	27
"(Propanoate metabolism (map00640), carboxylase (ec:6.4.1.3))"	27
"(Oxidative phosphorylation (map00190), dehydrogenase (quinone) (ec:1.6.99.5))"	27
"(Pyruvate metabolism (map00620), dehydrogenase (oxaloacetate-decarboxylating) (NADP+) (ec:1.1.1.40))"	27
"(Citrate cycle (TCA cycle) (map00020), ligase (ADP-forming) (ec:6.2.1.5))"	27
"(Glycine, serine and threonine metabolism (map00260), dehydrogenase (ec:1.8.1.4))"	26
"(Propanoate metabolism (map00640), mutase (ec:5.4.99.2))"	26
"(Pyruvate metabolism (map00620), phosphate dikinase (ec:2.7.9.1))"	26
"(Carbon fixation in photosynthetic organisms (map00710), dehydrogenase (phosphorylating) (ec:1.2.1.12))"	26
"(Carbon fixation pathways in prokaryotes (map00720), mutase (ec:5.4.99.2))"	26
"(Glycolysis / Gluconeogenesis (map00010), dehydrogenase (ec:1.8.1.4))"	26
"(Pyruvate metabolism (map00620), dehydrogenase (ec:1.8.1.4))"	26
"(Propanoate metabolism (map00640), ligase (ec:6.2.1.1))"	26
"(Methane metabolism (map00680), ligase (ec:6.2.1.1))"	26
"(Glycolysis / Gluconeogenesis (map00010), ligase (ec:6.2.1.1))"	26
"(Valine, leucine and isoleucine degradation (map00280), mutase (ec:5.4.99.2))"	26
"(Citrate cycle (TCA cycle) (map00020), dehydrogenase (ec:1.8.1.4))"	26
"(Valine, leucine and isoleucine degradation (map00280), dehydrogenase (ec:1.8.1.4))"	26
"(Pyruvate metabolism (map00620), ligase (ec:6.2.1.1))"	26
"(Glyoxylate and dicarboxylate metabolism (map00630), mutase (ec:5.4.99.2))"	26
"(Carbon fixation in photosynthetic organisms (map00710), phosphate dikinase (ec:2.7.9.1))"	26
"(Glycolysis / Gluconeogenesis (map00010), dehydrogenase (phosphorylating) (ec:1.2.1.12))"	26
"(Carbon fixation pathways in prokaryotes (map00720), ligase (ec:6.2.1.1))"	26
"(Methane metabolism (map00680), dehydrogenase (acceptor) (ec:1.2.99.2))"	24
"(Butanoate metabolism (map00650), synthase (ec:2.2.1.6))"	24
"(Valine, leucine and isoleucine biosynthesis (map00290), synthase (ec:2.2.1.6))"	24
"(Nitrogen metabolism (map00910), synthase (ferredoxin) (ec:1.4.7.1))"	24
"(Glyoxylate and dicarboxylate metabolism (map00630), synthase (ferredoxin) (ec:1.4.7.1))"	24
"(C5-Branched dibasic acid metabolism (map00660), synthase (ec:2.2.1.6))"	24
"(Carbon fixation pathways in prokaryotes (map00720), dehydrogenase (acceptor) (ec:1.2.99.2))"	24
"(Pantothenate and CoA biosynthesis (map00770), synthase (ec:2.2.1.6))"	24
"(Nitrotoluene degradation (map00633), dehydrogenase (acceptor) (ec:1.2.99.2))"	24
"(Ascorbate and aldarate metabolism (map00053), dehydrogenase (NAD+) (ec:1.2.1.3))"	23
"(Valine, leucine and isoleucine degradation (map00280), transaminase (ec:2.6.1.42))"	23
"(Glycolysis / Gluconeogenesis (map00010), dehydrogenase (NAD+) (ec:1.2.1.3))"	23
"(Citrate cycle (TCA cycle) (map00020), hydratase (ec:4.2.1.3))"	23
"(Pantothenate and CoA biosynthesis (map00770), transaminase (ec:2.6.1.42))"	23
"(Glutathione metabolism (map00480), dehydrogenase (NADP+-dependent, decarboxylating) (ec:1.1.1.44))"	23
"(Carbon fixation pathways in prokaryotes (map00720), dehydrogenase (NADP+) (ec:1.1.1.42))"	23
"(Histidine metabolism (map00340), dehydrogenase (NAD+) (ec:1.2.1.3))"	23
"(Pentose phosphate pathway (map00030), dehydrogenase (NADP+-dependent, decarboxylating) (ec:1.1.1.44))"	23
"(Glycerolipid metabolism (map00561), dehydrogenase (NAD+) (ec:1.2.1.3))"	23
"(Pyruvate metabolism (map00620), dehydrogenase (NAD+) (ec:1.2.1.3))"	23
"(beta-Alanine metabolism (map00410), dehydrogenase (NAD+) (ec:1.2.1.3))"	23
"(Purine metabolism (map00230), dehydrogenase (ec:1.17.1.4))"	23
"(Glucosinolate biosynthesis (map00966), transaminase (ec:2.6.1.42))"	23
"(Tryptophan metabolism (map00380), dehydrogenase (NAD+) (ec:1.2.1.3))"	23
"(Aminoacyl-tRNA biosynthesis (map00970), ligase (ec:6.1.1.20))"	23
"(Fatty acid metabolism (map00071), dehydrogenase (NAD+) (ec:1.2.1.3))"	23
"(Lysine degradation (map00310), dehydrogenase (NAD+) (ec:1.2.1.3))"	23
"(Carbon fixation pathways in prokaryotes (map00720), hydratase (ec:4.2.1.3))"	23
"(Citrate cycle (TCA cycle) (map00020), dehydrogenase (NADP+) (ec:1.1.1.42))"	23
"(Glutathione metabolism (map00480), dehydrogenase (NADP+) (ec:1.1.1.42))"	23
"(Chloroalkane and chloroalkene degradation (map00625), dehydrogenase (NAD+) (ec:1.2.1.3))"	23
"(Valine, leucine and isoleucine biosynthesis (map00290), transaminase (ec:2.6.1.42))"	23
"(Limonene and pinene degradation (map00903), dehydrogenase (NAD+) (ec:1.2.1.3))"	23
"(Arginine and proline metabolism (map00330), dehydrogenase (NAD+) (ec:1.2.1.3))"	23
"(Biotin metabolism (map00780), transaminase (ec:2.6.1.62))"	23
"(Glyoxylate and dicarboxylate metabolism (map00630), hydratase (ec:4.2.1.3))"	23
"(Valine, leucine and isoleucine degradation (map00280), dehydrogenase (NAD+) (ec:1.2.1.3))"	23
"(Pentose and glucuronate interconversions (map00040), dehydrogenase (NAD+) (ec:1.2.1.3))"	23
"(Cysteine and methionine metabolism (map00270), adenosyltransferase (ec:2.5.1.6))"	23
"(Propanoate metabolism (map00640), dehydrogenase (NAD+) (ec:1.2.1.3))"	23
"(Fructose and mannose metabolism (map00051), guanylyltransferase (ec:2.7.7.13))"	22
"(Taurine and hypotaurine metabolism (map00430), acetyltransferase (ec:2.3.3.15))"	22
"(Amino sugar and nucleotide sugar metabolism (map00520), guanylyltransferase (ec:2.7.7.13))"	22
"(Valine, leucine and isoleucine degradation (map00280), transaminase (ec:2.6.1.18))"	21
"(Carbon fixation in photosynthetic organisms (map00710), dehydrogenase (ec:1.1.1.37))"	21
"(beta-Alanine metabolism (map00410), transaminase (ec:2.6.1.18))"	21
"(Carbon fixation pathways in prokaryotes (map00720), ligase (ec:6.3.4.3))"	21
"(Propanoate metabolism (map00640), transaminase (ec:2.6.1.18))"	21
"(Aminoacyl-tRNA biosynthesis (map00970), ligase (ec:6.1.1.12))"	21
"(One carbon pool by folate (map00670), ligase (ec:6.3.4.3))"	21
"(Carbon fixation pathways in prokaryotes (map00720), dehydrogenase (ec:1.1.1.37))"	21
"(Methane metabolism (map00680), dehydrogenase (ec:1.1.1.37))"	21
"(Valine, leucine and isoleucine biosynthesis (map00290), synthase (ec:2.3.3.13))"	21
"(Pyruvate metabolism (map00620), dehydrogenase (ec:1.1.1.37))"	21
"(Pyruvate metabolism (map00620), synthase (ec:2.3.3.13))"	21
"(Citrate cycle (TCA cycle) (map00020), dehydrogenase (ec:1.1.1.37))"	21
"(Glyoxylate and dicarboxylate metabolism (map00630), decarboxylase (ec:4.1.1.8))"	21
"(Glyoxylate and dicarboxylate metabolism (map00630), dehydrogenase (ec:1.1.1.37))"	21
"(Fatty acid biosynthesis (map00061), synthase I (ec:2.3.1.41))"	20
"(Fatty acid metabolism (map00071), ligase (ec:6.2.1.3))"	20
"(Citrate cycle (TCA cycle) (map00020), acetyltransferase (ec:2.3.1.12))"	20
"(Pyruvate metabolism (map00620), acetyltransferase (ec:2.3.1.12))"	20
"(Cysteine and methionine metabolism (map00270), aminocarboxypropyltransferase (ec:2.5.1.49))"	20
"(Valine, leucine and isoleucine biosynthesis (map00290), dehydratase (ec:4.2.1.33))"	20
"(Biotin metabolism (map00780), synthase I (ec:2.3.1.41))"	20
"(Glutathione metabolism (map00480), thioredoxin peroxidase (ec:1.11.1.15))"	20
"(Glycolysis / Gluconeogenesis (map00010), acetyltransferase (ec:2.3.1.12))"	20
"(Glycine, serine and threonine metabolism (map00260), dehydrogenase (ec:1.1.1.1))"	19
"(Alanine, aspartate and glutamate metabolism (map00250), synthase (glutamine-hydrolysing) (ec:6.3.5.5))"	19
"(Chloroalkane and chloroalkene degradation (map00625), dehydrogenase (ec:1.1.1.1))"	19
"(Sphingolipid metabolism (map00600), phosphodiesterase (ec:3.1.4.12))"	19
"(Drug metabolism - other enzymes (map00983), dehydrogenase (ec:1.1.1.205))"	19
"(Sulfur metabolism (map00920), reductase (NADPH) (ec:1.8.1.2))"	19
"(Phenylalanine, tyrosine and tryptophan biosynthesis (map00400), synthase (ec:4.2.1.20))"	19
"(Aminoacyl-tRNA biosynthesis (map00970), ligase (ec:6.1.1.4))"	19
"(Drug metabolism - cytochrome P450 (map00982), dehydrogenase (ec:1.1.1.1))"	19
"(Tyrosine metabolism (map00350), dehydrogenase (ec:1.1.1.1))"	19
"(Naphthalene degradation (map00626), dehydrogenase (ec:1.1.1.1))"	19
"(Metabolism of xenobiotics by cytochrome P450 (map00980), dehydrogenase (ec:1.1.1.1))"	19
"(Glycolysis / Gluconeogenesis (map00010), dehydrogenase (ec:1.1.1.1))"	19
"(Pyrimidine metabolism (map00240), synthase (glutamine-hydrolysing) (ec:6.3.5.5))"	19
"(Retinol metabolism (map00830), dehydrogenase (ec:1.1.1.1))"	19
"(Glycine, serine and threonine metabolism (map00260), dehydrogenase (decarboxylating) (ec:1.4.4.2))"	19
"(Glycine, serine and threonine metabolism (map00260), synthase (ec:4.2.1.20))"	19
"(Photosynthesis (map00195), reductase (ec:1.18.1.2))"	19
"(Purine metabolism (map00230), dehydrogenase (ec:1.1.1.205))"	19
"(Fatty acid metabolism (map00071), dehydrogenase (ec:1.1.1.1))"	19
"(Pentose phosphate pathway (map00030), aldolase (ec:4.1.2.13))"	18
"(Arachidonic acid metabolism (map00590), glutamyl transpeptidase (ec:2.3.2.2))"	18
"(Citrate cycle (TCA cycle) (map00020), hydratase (ec:4.2.1.2))"	18
"(Tyrosine metabolism (map00350), transaminase (ec:2.6.1.1))"	18
"(Fructose and mannose metabolism (map00051), aldolase (ec:4.1.2.13))"	18
"(Cyanoamino acid metabolism (map00460), glutamyl transpeptidase (ec:2.3.2.2))"	18
"(Carbon fixation in photosynthetic organisms (map00710), aldolase (ec:4.1.2.13))"	18
"(Methane metabolism (map00680), aldolase (ec:4.1.2.13))"	18
"(Glycolysis / Gluconeogenesis (map00010), aldolase (ec:4.1.2.13))"	18
"(Cysteine and methionine metabolism (map00270), transaminase (ec:2.6.1.1))"	18
"(Alanine, aspartate and glutamate metabolism (map00250), transaminase (ec:2.6.1.1))"	18
"(Methane metabolism (map00680), dehydrogenase (ec:1.1.1.284))"	18
"(Isoquinoline alkaloid biosynthesis (map00950), transaminase (ec:2.6.1.1))"	18
"(Glycerolipid metabolism (map00561), kinase (ec:2.7.1.30))"	18
"(Carbon fixation pathways in prokaryotes (map00720), hydratase (ec:4.2.1.2))"	18
"(Arginine and proline metabolism (map00330), transaminase (ec:2.6.1.1))"	18
"(Phenylalanine, tyrosine and tryptophan biosynthesis (map00400), transaminase (ec:2.6.1.1))"	18
"(Tropane, piperidine and pyridine alkaloid biosynthesis (map00960), transaminase (ec:2.6.1.1))"	18
"(Glutathione metabolism (map00480), glutamyl transpeptidase (ec:2.3.2.2))"	18
"(Novobiocin biosynthesis (map00401), transaminase (ec:2.6.1.1))"	18
"(Carbon fixation in photosynthetic organisms (map00710), transaminase (ec:2.6.1.1))"	18
"(Taurine and hypotaurine metabolism (map00430), glutamyl transpeptidase (ec:2.3.2.2))"	18
"(Phenylalanine metabolism (map00360), transaminase (ec:2.6.1.1))"	18
"(Fatty acid elongation (map00062), dehydrogenase (ec:1.1.1.35))"	17
"(mTOR signaling pathway (map04150), protein kinase (ec:2.7.11.24))"	17
"(Geraniol degradation (map00281), dehydrogenase (ec:1.1.1.35))"	17
"(Valine, leucine and isoleucine degradation (map00280), dehydrogenase (ec:1.1.1.35))"	17
"(Tryptophan metabolism (map00380), dehydrogenase (ec:1.1.1.35))"	17
"(Butanoate metabolism (map00650), dehydrogenase (ec:1.1.1.35))"	17
"(Fatty acid metabolism (map00071), dehydrogenase (ec:1.1.1.35))"	17
"(Toluene degradation (map00623), dehydrogenase (ec:1.1.1.35))"	17
"(Fatty acid biosynthesis (map00061), S-malonyltransferase (ec:2.3.1.39))"	17
"(Carbon fixation pathways in prokaryotes (map00720), dehydrogenase (ec:1.1.1.35))"	17
"(Caprolactam degradation (map00930), dehydrogenase (ec:1.1.1.35))"	17
"(Aminoacyl-tRNA biosynthesis (map00970), ligase (ec:6.1.1.9))"	17
"(Primary bile acid biosynthesis (map00120), dehydrogenase (ec:1.1.1.35))"	17
"(Lysine degradation (map00310), dehydrogenase (ec:1.1.1.35))"	17
"(Synthesis and degradation of ketone bodies (map00072), CoA-transferase (ec:2.8.3.5))"	16
"(Carbon fixation pathways in prokaryotes (map00720), citrate synthase (ec:2.3.3.8))"	16
"(Pyruvate metabolism (map00620), kinase (ec:2.7.1.40))"	16
"(Nicotinate and nicotinamide metabolism (map00760), diphosphorylase (carboxylating) (ec:2.4.2.19))"	16
"(Citrate cycle (TCA cycle) (map00020), succinyltransferase (ec:2.3.1.61))"	16
"(Purine metabolism (map00230), cyclase (ec:4.6.1.2))"	16
"(Butanoate metabolism (map00650), CoA-transferase (ec:2.8.3.5))"	16
"(One carbon pool by folate (map00670), synthase (ec:2.1.1.13))"	16
"(Porphyrin and chlorophyll metabolism (map00860), ligase (ec:6.1.1.17))"	16
"(Aminoacyl-tRNA biosynthesis (map00970), ligase (ec:6.1.1.7))"	16
"(Nicotinate and nicotinamide metabolism (map00760), uridine 5'-nucleotidase (ec:3.1.3.5))"	16
"(Lysine degradation (map00310), succinyltransferase (ec:2.3.1.61))"	16
"(Citrate cycle (TCA cycle) (map00020), citrate synthase (ec:2.3.3.8))"	16
"(Purine metabolism (map00230), kinase (ec:2.7.1.40))"	16
"(Cysteine and methionine metabolism (map00270), S-adenosylhomocysteine synthase (ec:3.3.1.1))"	16
"(Glycolysis / Gluconeogenesis (map00010), kinase (ec:2.7.1.40))"	16
"(Aminoacyl-tRNA biosynthesis (map00970), ligase (ec:6.1.1.17))"	16
"(Valine, leucine and isoleucine degradation (map00280), CoA-transferase (ec:2.8.3.5))"	16
"(Pyrimidine metabolism (map00240), uridine 5'-nucleotidase (ec:3.1.3.5))"	16
"(Glyoxylate and dicarboxylate metabolism (map00630), (Si)-synthase (ec:2.3.3.1))"	16
"(Selenocompound metabolism (map00450), synthase (ec:2.1.1.13))"	16
"(Purine metabolism (map00230), uridine 5'-nucleotidase (ec:3.1.3.5))"	16
"(Cysteine and methionine metabolism (map00270), synthase (ec:2.1.1.13))"	16
"(Citrate cycle (TCA cycle) (map00020), (Si)-synthase (ec:2.3.3.1))"	16
"(Fatty acid biosynthesis (map00061), synthase (ec:2.3.1.86))"	16
"(Aminoacyl-tRNA biosynthesis (map00970), synthase (glutamine-hydrolysing) (ec:6.3.5.7))"	16
"(Alanine, aspartate and glutamate metabolism (map00250), synthase (NADH) (ec:1.4.1.14))"	15
"(Glycolysis / Gluconeogenesis (map00010), hexose diphosphatase (ec:3.1.3.11))"	15
"(Carbon fixation in photosynthetic organisms (map00710), hexose diphosphatase (ec:3.1.3.11))"	15
"(Nitrogen metabolism (map00910), oxide reductase (cytochrome c) (ec:1.7.2.5))"	15
"(Nitrogen metabolism (map00910), synthase (NADH) (ec:1.4.1.14))"	15
"(Methane metabolism (map00680), hexose diphosphatase (ec:3.1.3.11))"	15
"(Pentose phosphate pathway (map00030), 1-dehydrogenase (PQQ, quinone) (ec:1.1.5.2))"	15
"(Phenylalanine, tyrosine and tryptophan biosynthesis (map00400), synthase (ec:2.5.1.54))"	15
"(Pentose phosphate pathway (map00030), hexose diphosphatase (ec:3.1.3.11))"	15
"(Fructose and mannose metabolism (map00051), hexose diphosphatase (ec:3.1.3.11))"	15
"(Glycine, serine and threonine metabolism (map00260), synthase (ec:2.3.1.37))"	14
"(Nitrogen metabolism (map00910), reductase (ec:1.10.2.2))"	14
"(Oxidative phosphorylation (map00190), reductase (ec:1.10.2.2))"	14
"(Pyrimidine metabolism (map00240), nucleotidyltransferase (ec:2.7.7.8))"	14
"(Porphyrin and chlorophyll metabolism (map00860), synthase (ec:2.3.1.37))"	14
"(Purine metabolism (map00230), nucleotidyltransferase (ec:2.7.7.8))"	14
"(Aminoacyl-tRNA biosynthesis (map00970), ligase (ec:6.1.1.19))"	14
"(Pyruvate metabolism (map00620), dehydrogenase (cytochrome) (ec:1.1.2.4))"	14
"(Fatty acid biosynthesis (map00061), reductase (NADH) (ec:1.3.1.9))"	14
"(Glycerophospholipid metabolism (map00564), dehydrogenase (ec:1.1.5.3))"	14
"(Pentose phosphate pathway (map00030), isomerase (ec:5.3.1.9))"	13
"(Carbon fixation in photosynthetic organisms (map00710), glycolaldehydetransferase (ec:2.2.1.1))"	13
"(Pyrimidine metabolism (map00240), carbamoylaspartic dehydrase (ec:3.5.2.3))"	13
"(Glyoxylate and dicarboxylate metabolism (map00630), carboxylase (ec:4.1.1.39))"	13
"(Biosynthesis of ansamycins (map01051), glycolaldehydetransferase (ec:2.2.1.1))"	13
"(Arginine and proline metabolism (map00330), 5-kinase (ec:2.7.2.11))"	13
"(Pentose phosphate pathway (map00030), glycolaldehydetransferase (ec:2.2.1.1))"	13
"(Carbon fixation in photosynthetic organisms (map00710), carboxylase (ec:4.1.1.39))"	13
"(Glycolysis / Gluconeogenesis (map00010), isomerase (ec:5.3.1.9))"	13
"(Aminoacyl-tRNA biosynthesis (map00970), ligase (ec:6.1.1.2))"	13
"(Cysteine and methionine metabolism (map00270), S-methyltransferase (ec:2.1.1.10))"	13
"(Amino sugar and nucleotide sugar metabolism (map00520), isomerase (ec:5.3.1.9))"	13
"(Starch and sucrose metabolism (map00500), isomerase (ec:5.3.1.9))"	13
"(Glycine, serine and threonine metabolism (map00260), dehydrogenase (ec:1.5.8.3))"	12
"(Porphyrin and chlorophyll metabolism (map00860), C-methyltransferase (ec:2.1.1.107))"	12
"(Terpenoid backbone biosynthesis (map00900), synthase (ec:2.2.1.7))"	12
